Artist,Followers,NumAlbums,YearFirstAlbum,Gender
Ed Sheeran,"52,698,756",8,2011,M
Drake,"41,420,478",11,2010,M
Rihanna,"34,436,700",16,2005,F
Justin Bieber,"30,711,450",10,2009,M
Eminem,"30,220,119",12,1999,M
Taylor Swift,"23,709,128",10,2006,F
Bruno Mars,"22,677,758",3,2010,M
Coldplay,"22,458,057",10,2000,M
Play,"22,458,057",3,2003,F
Queen,"20,501,475",28,1973,M
Beyonce,"20,494,887",12,2003,F
Maroon 5,"20,445,189",11,2002,M
David Guetta,"20,121,007",15,2002,M
Calvin Harris,"18,493,843",5,2007,M
Adele,"17,965,158",3,2008,F
Shakira,"17,399,459",11,1995,F
Nicki Minaj,"16,331,335",10,2010,F
Demi Lovato,"15,274,062",9,2008,F
twenty one pilots,"14,842,963",5,2009,M
Guns N' Roses,"14,174,998",6,1987,M
Sia,"14,117,938",12,2003,F
Daddy Yankee,"14,076,638",9,2002,M
Katy Perry,"14,004,245",7,2008,F
Linkin Park,"13,781,152",16,2000,M
Kendrick Lamar,"13,325,462",7,2010,M
Michael Jackson,"12,232,437",16,1972,M
Metallica,"12,040,848",17,1983,M
Red Hot Chili Peppers,"11,748,722",11,1984,M
Kanye West,"10,455,779",13,2004,M
Miley Cyrus,"10,054,490",9,2007,F
Nicky Jam,"10,051,233",8,2001,M
Chris Brown,"9,676,862",6,2005,M
Green Day,"9,639,087",18,1991,M
Nirvana,"9,609,725",11,1991,M
Migos,"9,473,441",13,2011,M
J. Cole,"9,417,086",9,2009,M
Lady Gaga,"9,370,435",9,2008,F
Lana Del Rey,"9,179,252",7,2011,F
Enrique Iglesias,"8,796,153",14,1995,M
OneRepublic,"8,660,053",7,2007,M
Wiz Khalifa,"8,515,882",23,2006,M
Arctic Monkeys,"8,499,414",6,2006,M
Justin Timberlake,"8,365,398",6,2002,M
Lil' Wayne,"8,360,644",25,1999,M
Lil Wayne,"8,360,644",25,1999,M
Panic! At The Disco,"8,129,075",8,2005,M
The Rolling Stones,"7,538,612",63,1964,M
